Reaction,PN1,PN11,PN12,PN13,PN14,PN15,PN16,PN17,PN18,PN19,PN2,PN20,PN21,PN22,PN23,PN24,PN25,PN26,PN27,PN28,PN29,PN3,PN30,PN4,PN5,PN6,PN7,PN8,PN9,PT1,PT10,PT11,PT12,PT14,PT15,PT16,PT17,PT18,PT2,PT20,PT22,PT23,PT24,PT25,PT27,PT28,PT29,PT3,PT30,PT4,PT5,PT6,PT7,PT8,Normal_Random_Mean,Cancer_Random_Mean,Normal_All_Mean,Cancer_All_Mean
25DHBO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
25HVITD3c,0.00031616735023683466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014741453774271625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003064283201388998,0.0011543189547967645,7.610682066089427e-05,0.0,0.00016636009815527498,0.0002832554738020549,0.0,0.0001826082906019608,0.0,0.00020962560765559643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014231143667632387,,7.746807368876665e-05,
25HVITD3t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024951082847043584,0.0,0.0,0.0,0.0,0.0006228935860180371,0.0001634303230496563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005790073134840334,0.0006555001123480521,0.0,0.0,0.00031218766916898553,0.0,0.0,0.0,0.0,0.00044987674932726944,0.0,0.0,0.0,,0.00020629211436720894,
25HVITD3tm,-0.0005271960945817982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013781198987665888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011926256414766185,0.0,0.0,0.0,0.0,-0.0002233703917091323,0.0,-0.0003763127792586799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.848689507198228e-05,,-4.770588423612699e-05,
25VITD3Hm,0.00026911777275946875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009393667482979968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002624848986266502,0.00014773130597829146,7.584061451248227e-05,0.0,0.00022919628200546852,0.0005388959346808137,0.0,0.0001335282273313828,0.0,0.00017297475436980927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.111114839221559e-05,,4.978668407388203e-05,
2AMACHYD,0.0,0.003794623129866805,0.0,0.0,0.0,0.0,0.0021589131364662274,0.002521836832784048,0.0,0.0,0.0,0.0,0.002852073716865936,0.022411500883758147,0.0,0.0,0.0,0.0016128927245365689,0.0,0.0,0.019771861564052022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011131092859277334,0.0,0.00889627722146731,0.0,0.0016615343201500032,0.021349440317415896,0.0,0.0,0.003982254238346939,0.009414209026081312,0.0,0.03206825310248675,0.0,0.0037349951725730635,0.013989247330001738,0.0,0.0,0.0,0.010735144345721129,0.0,0.012573358668851056,0.0,0.0,0.0020058949935689335,,0.003416872430080355,
2AMACSULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004593978968305098,0.0,0.0,0.0,0.0,0.0016152281614164614,0.0,0.0,0.001856396724142899,0.0,0.0,0.0025712338317554133,0.0,0.0,0.0,0.0012559243909331934,0.0,0.0,0.0,0.0,0.0,0.0,0.0022742329661362454,0.0,0.001995346613303108,0.0,0.0,0.0,0.0015227613321493391,0.0,0.0,0.0,0.0,0.004773089920223221,0.0,0.0,0.0013505920553775112,0.003364066878084197,0.00446583893500304,0.0,0.0,0.0,0.0023007028770947523,0.008478092539078467,0.00044512860993706644,,0.0007478463347591962,
2AMADPTm,0.0,-0.022078285320618087,0.0,0.0,-0.013192702486162384,-0.010613373642764727,-0.3266248140455989,0.0,-0.028894336472174414,0.0,0.0,0.0,0.0,-0.007522792855001798,-0.08883205361251209,0.0,0.0,0.0,0.0,-0.006832646530120856,0.0,0.0,0.0,0.0,0.0,-0.11982655404195983,-0.16801168212621226,-0.14864081957475866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006457297646901501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012182553731751533,-0.024083455871146277,,-0.018926567195076113,
2AOBUTtm,0.0,0.04658404555497388,0.0,0.06620418360879793,0.06119894315309728,0.003638548058689548,0.03163258962977604,0.06262103516442932,0.0,0.08353419866753344,0.0,0.0,0.0,0.04816160145399172,0.02641947338123844,0.0,0.02594821122209,0.00990657224161079,0.0,0.008053043057871223,0.0,0.029158573705890273,0.0,0.0,0.0,0.06696416227344401,0.0,0.0,0.0,0.05476149110006507,0.04023670532011501,0.06495729939581486,0.010585349451578279,0.08267072479176986,0.04943088809819737,0.05492276917690193,0.06927275954902715,0.0640895900856821,0.049962177724005144,0.07361905319169214,0.05267591752730755,0.05392751268237239,0.032074685426484485,0.06094251439008292,0.03248351898729757,0.06152976575356897,0.09148572709107507,0.061139655658411216,0.11127488613886725,0.04792032231350825,0.053103225169336375,0.048772207770275855,0.023803626156307288,0.0615128646236106,0.018885448025451737,,0.03527521039552096,
2DR1PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005912297322763226,0.0046735276013263344,0.0,0.0,0.0,0.0,0.0,0.0,,6.871207738761262e-05,
