SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
NH4tn,0,2,29,19
NH4tp,0,1,29,20
NMNDA,29,15,0,6
NMNS,4,2,25,19
NNDPR,2,0,27,21
NRVNCCOAtr,1,0,28,21
NTD1,4,0,25,21
NTD2,1,0,28,21
NTD3,0,7,29,14
NTD5,0,1,29,20
NTD6,1,0,28,21
NTD9,3,2,26,19
O2St,0,3,29,18
O2Stm,2,3,27,18
O2t,16,18,13,3
O2ter,29,21,0,0
O2tm,20,17,9,4
O2tp,0,1,29,20
OAADC,0,1,29,20
OBDHc,9,5,20,16
OCDE9ECOAtr,11,7,18,14
OCOAT1m,4,0,25,21
OMPDC,29,21,0,0
ORNDC,1,1,28,20
ORPT,29,21,0,0
OXALSUCCCLm,9,17,20,4
PCFLOPm,1,0,28,21
PEMET1,8,13,21,8
PEMET2,8,13,21,8
PEPCK,11,1,18,20
PETHCT,20,2,9,19
PETOHMm_hs,1,0,28,21
PE_HStm,5,4,24,17
PFK,3,3,26,18
PFK2,1,1,28,20
PGI,9,10,20,11
PGK,9,9,20,12
PGL,3,7,26,14
PGLer,16,7,13,14
PGM,9,10,20,11
PGMT,2,1,27,20
PGPPT,29,21,0,0
PGPP_hs,29,21,0,0
PHEMEtabc,0,1,29,20
PHETRS,29,21,0,0
PHEt4,19,17,10,4
PHEtec,0,1,29,20
PIATPLtm,0,3,29,18
PIGTHRDLtm,0,1,29,20
PIt2m_2,5,2,24,19
PIter,12,6,17,15
PItg,1,0,28,21
PItn,0,2,29,19
PMEVKc,29,19,0,2
PMTCOAFABP1tc,25,17,4,4
PMTCOAPTr,2,0,27,21
PNP,29,15,0,6
PPA,3,0,26,21
PPAPA,1,5,28,16
PPAer,7,7,22,14
PPAn,0,2,29,19
PPBNGS,0,1,29,20
PPCOACRNtm,1,1,28,20
PPCOAOm,1,0,28,21
PPCOAtm,7,1,22,20
PPIOGLYc,1,1,28,20
PPIOGLYte,1,1,28,20
PPIOGLYtm,1,1,28,20
PPIPItr,0,1,29,20
PPItm,2,14,27,7
PPItn,29,15,0,6
PPItx,29,21,0,0
PPM,29,15,0,6
PPM2,0,1,29,20
PPPG9tm,0,1,29,20
PPPGOm,0,1,29,20
PRAGS,29,21,0,0
PRAIS,29,21,0,0
PRASCS,29,21,0,0
PRFGS,29,21,0,0
PROTRS,29,21,0,0
PROTsyn,29,21,0,0
PROt2r,0,2,29,19
PROt4,2,6,27,15
PRPNCOAHYDm,1,0,28,21
PRPPS,0,6,29,15
PSDm_hs,5,4,24,17
PSFLIPm,5,4,24,17
PSPPSr,29,21,0,0
PSSA1_hs,9,18,20,3
PSSA2_hs,21,12,8,9
PTRCtm,0,4,29,17
PUNP1,11,0,18,21
PUNP2,14,6,15,15
PUNP3,3,2,26,19
PUNP4,3,2,26,19
PYK,1,1,28,20
PYK2,15,3,14,18
PYK4,13,0,16,21
PYK5,15,3,14,18
PYK6,1,2,28,19
PYK7,21,12,8,9
PYNP2r,1,1,28,20
