SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
TECR241,1,0,27,27
TECR260,5,2,23,25
THBPT4ACAMDASE,1,0,27,27
THDm,0,1,28,26
THFt2,0,2,28,25
THFtm,14,17,14,10
THR3Dx,2,4,26,23
THRA,9,11,19,16
THRALANaEx,1,1,27,26
THRATB0tc,2,1,26,26
THRD_L,2,0,26,27
THRTRS,28,27,0,0
THRt4,17,18,11,9
THRtm,0,1,28,26
THYPX,1,0,27,27
THYST,1,0,27,27
TKT1,20,27,8,0
TKT2,20,27,8,0
TMDS,28,27,0,0
TPI,10,15,18,12
TRDOXtm,6,2,22,25
TRDR,22,25,6,2
TRDRDtm,6,2,22,25
TRDRm,6,2,22,25
TRPATB0tc,1,3,27,24
TRPTRS,28,27,0,0
TRPt4,26,21,2,6
TTDCAFATPc,4,2,24,25
TTDCAtr,4,2,24,25
TXA2tr,0,5,28,22
TXB2c,0,5,28,22
TXB2r,0,5,28,22
TXB2tr,0,5,28,22
TYR3MO2,1,0,27,27
TYRATB0tc,2,1,26,26
TYRDOPO,1,0,27,27
TYROX,4,0,24,27
TYRTA,4,0,24,27
TYRTAm,3,1,25,26
TYRTRS,28,27,0,0
TYRt,1,0,27,27
TYRt4,25,25,3,2
TYRtl,3,1,25,26
UAG4E,0,1,28,26
UAGDP,13,7,15,20
UDPACGALtl,4,2,24,25
UDPDOLPT,2,0,26,27
UDPG4E,5,4,23,23
UDPGALt2r,1,3,27,24
UDPGALtg,7,4,21,23
UDPGCURtr,2,3,26,24
UDPGD,9,8,19,19
UDPGGPGTr,1,3,27,24
UDPGLCAter,5,6,23,21
UDPtl,4,2,24,25
UGALNACtg,4,3,24,24
UGCGc,1,3,27,24
UGLCNACtg,11,6,17,21
UGLT,2,0,26,27
UGT1A2r,3,4,25,23
UMPK,13,8,15,19
UMPK2,0,1,28,26
UMPK4,1,0,27,27
UMPK5,12,15,16,12
UMPtr,3,1,25,26
UNK3,1,1,27,26
UPP3S,7,8,21,19
UPPDC1,7,8,21,19
URIK1,0,1,28,26
URIK4,5,4,23,23
UROLACer,5,2,23,25
URPT,3,1,25,26
Uritn,3,2,25,25
VALATB0tc,3,1,25,26
VALTRS,28,27,0,0
VALt4,25,19,3,8
VD3,1,0,27,27
VITD3Hm,1,0,27,27
VITD3tm,1,0,27,27
biomass_reaction,28,27,0,0
peparg_synthesis,1,0,27,27
peplys_synthesis,1,10,27,17
q10h2tc,4,2,24,25
q10tm,1,1,27,26
