Reaction,log_fc,p_value,adj_p_val,Fluxes
41R1H2MAE12BOOX,0.0,1.0,1.0,Unchanged
41R2A1H12BOOX,0.10180870486687751,0.5844503676766619,1.0,Unchanged
42A12BOOX,3.916558534482977,0.34772578772387,1.0,Unchanged
4ABUTNDH,0.0,1.0,1.0,Unchanged
4ABUTtm,0.0017339488450953205,1.0,1.0,Unchanged
4HBZCOAFm,1.9300128221477428,0.0021790310829050545,0.050655144097667276,Unchanged
4HBZFm,1.9300128221477428,0.0021790310829050545,0.050655144097667276,Unchanged
4HGLSDm,0.0,1.0,1.0,Unchanged
4HOXPACDOX,0.0,1.0,1.0,Unchanged
4HOXPACDOXy,0.0,1.0,1.0,Unchanged
4HPRO_LTte,0.04465729427050165,0.9096288821166244,1.0,Unchanged
4HPROLTASCT1,11.955989271215062,0.6797886913817313,1.0,Unchanged
4MOPt2im,0.0,1.0,1.0,Unchanged
4MOPte,0.0,1.0,1.0,Unchanged
4MPTNLte,1.6662313038029553,0.7964303032729557,1.0,Unchanged
4MPTNLtm,1.6662313038029553,0.7964303032729557,1.0,Unchanged
4OHBUTm,0.00042685223864514035,0.8123991531268748,1.0,Unchanged
4OHBUTtce,0.00042685223864514035,0.8123991531268748,1.0,Unchanged
4OHBUTtmc,0.00042685223864514035,0.8123991531268748,1.0,Unchanged
4OHPROIMINOtc,3.0395008586705408,0.8123991531268748,1.0,Unchanged
4PYRDX,0.0,1.0,1.0,Unchanged
56DTHMtm,2.5127268083963337,0.21562171318624368,1.0,Unchanged
5AOPtm,0.11039088774469354,0.39174374574594084,1.0,Unchanged
5DHFtl,0.0,1.0,1.0,Unchanged
5HLTDL,0.0012654118566602748,0.6350263239877817,1.0,Unchanged
5HOXINDACTO2OX,0.0,1.0,1.0,Unchanged
5HOXINDACTOX,0.0,1.0,1.0,Unchanged
5HTRPDOX,-0.7229385180823984,0.014882169185722107,0.22809554788701167,Unchanged
5HTRPVESSEC,0.00010267601078216038,0.6350263239877817,1.0,Unchanged
5MTAte,0.33906073155817235,0.35842410299775007,1.0,Unchanged
5MTHFSHCMT,1.137989281806764,0.13459524700517173,1.0,Unchanged
5MTHFt,-0.6601327037072476,0.6131230293263685,1.0,Unchanged
5MTHFt2,-0.6601327037072476,0.6131230293263685,1.0,Unchanged
5OXPROt,0.0,1.0,1.0,Unchanged
5THFtl,0.0,1.0,1.0,Unchanged
5THFtm,0.0,1.0,1.0,Unchanged
6DHFtl,0.0,1.0,1.0,Unchanged
6DHFtm,0.0,1.0,1.0,Unchanged
6THFtl,0.0,1.0,1.0,Unchanged
6THFtm,0.0,1.0,1.0,Unchanged
7DHCHSTEROLtr,2.23102583141686,0.07257900615022346,0.7045872057729559,Unchanged
7DHFtl,0.0,1.0,1.0,Unchanged
7DHFtm,0.0,1.0,1.0,Unchanged
7OHOCTAc,0.0,1.0,1.0,Unchanged
7OHOCTAte,0.0,1.0,1.0,Unchanged
7THFtl,0.0,1.0,1.0,Unchanged
7THFtm,0.0,1.0,1.0,Unchanged
A_MANASEly,0.0011345388780294415,0.34245359251361285,1.0,Unchanged
A4GALTg,0.0,1.0,1.0,Unchanged
A4GNT1g,1.5906836996533402e-05,0.6350263239877817,1.0,Unchanged
A4GNT2g,8.021478816384104e-05,0.6350263239877817,1.0,Unchanged
AABHH,6.379770353571089,0.9753043408807641,1.0,Unchanged
AACOAT,0.002944452151312156,0.47646704794698846,1.0,Unchanged
AACOAT_1,0.7721694370473575,0.05760960410933568,0.5949167085713071,Unchanged
AACTOOR,0.0009202372916068836,0.6350263239877817,1.0,Unchanged
AACTtm,0.0009202372916068836,0.6350263239877817,1.0,Unchanged
AAGGS,0.0,1.0,1.0,Unchanged
AAGS,0.0,1.0,1.0,Unchanged
AAPSAS,0.009796078339332505,0.2353615410718306,1.0,Unchanged
AASAD3,3.920418224479777,0.8445655827873272,1.0,Unchanged
AASAD3m,0.0,1.0,1.0,Unchanged
AATA,0.009797396636304174,0.1544485962005998,1.0,Unchanged
AATAi,0.9696289561583397,0.3804339922534412,1.0,Unchanged
ABO1g,0.5221627175799954,0.9670765439062068,1.0,Unchanged
ABO2g,2.163763164053686,0.19003147702305423,1.0,Unchanged
ABO3g,0.0,1.0,1.0,Unchanged
ABO4g,0.0,1.0,1.0,Unchanged
ABO5g,0.0,1.0,1.0,Unchanged
ABO6g,0.0,1.0,1.0,Unchanged
ABO7g,0.0,1.0,1.0,Unchanged
ABO8g,0.0,1.0,1.0,Unchanged
ABO9g,0.0,1.0,1.0,Unchanged
ABTArm,0.0017339488450953205,1.0,1.0,Unchanged
ABTD,0.0,1.0,1.0,Unchanged
ABTti,0.0,1.0,1.0,Unchanged
ABUTD,0.0,1.0,1.0,Unchanged
ABUTt2r,1.426388981454539,0.4893401160526957,1.0,Unchanged
ABUTt4_2_r,1.4263674101247894,0.9917669449474061,1.0,Unchanged
ACACACte,-0.34764037261577063,0.5987088507922675,1.0,Unchanged
ACACPYRte,-0.27012238527324883,0.9588522504512661,1.0,Unchanged
ACACPYRtm,-2.1394035617339364,8.443224738346868e-05,0.008258429630866069,Down-regulated
ACACRETNte,0.0,1.0,1.0,Unchanged
ACACT100m,2.717974950038554,0.9588522504512661,1.0,Unchanged
ACACT100p,0.00015816062394991383,0.6350263239877817,1.0,Unchanged
ACACT120m,0.0,1.0,1.0,Unchanged
ACACT120p,0.00015816062394991383,0.6350263239877817,1.0,Unchanged
ACACT121n5m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
ACACT121n6m,0.0,1.0,1.0,Unchanged
ACACT121n6p,0.0,1.0,1.0,Unchanged
ACACT140m,2.7276810737514254,0.6949740416821913,1.0,Unchanged
ACACT140p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
ACACT141n5m,0.0,1.0,1.0,Unchanged
ACACT141n5p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT141n7m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
ACACT142n6m,0.0,1.0,1.0,Unchanged
ACACT142n6p,0.0,1.0,1.0,Unchanged
ACACT160m,-1.5806910918478609e-06,0.7964303032729557,1.0,Unchanged
ACACT160p,0.00015390224876910363,0.8123991531268748,1.0,Unchanged
ACACT161n7m,0.0,1.0,1.0,Unchanged
ACACT161n7p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT161n9m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
ACACT162n6m,0.0,1.0,1.0,Unchanged
ACACT162n6p,0.0,1.0,1.0,Unchanged
ACACT180m,0.0,1.0,1.0,Unchanged
ACACT180p,5.028294582660819,0.9917669449474061,1.0,Unchanged
ACACT181m,1.9798172510724925,0.9917669449474061,1.0,Unchanged
ACACT181n9m,0.0,1.0,1.0,Unchanged
ACACT181n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT183n6m,0.0,1.0,1.0,Unchanged
ACACT183n6p,0.0,1.0,1.0,Unchanged
ACACT1rm,2.2555167233693316,0.0006366067414316557,0.028449735755014683,Unchanged
ACACT1x,1.3851883374415258e-05,0.8123991531268748,1.0,Unchanged
ACACt2,0.14533259413199617,0.8123991531268748,1.0,Unchanged
ACACT200m,0.0,1.0,1.0,Unchanged
ACACT200p,5.028294582660819,0.9917669449474061,1.0,Unchanged
ACACT201n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT203n6p,3.7061657009995086,0.7647532424227965,1.0,Unchanged
ACACT204n6m,0.0,1.0,1.0,Unchanged
ACACT204n6p,0.0,1.0,1.0,Unchanged
ACACT220p,5.028294582660819,0.9917669449474061,1.0,Unchanged
ACACT221n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT224n6m,0.0,1.0,1.0,Unchanged
ACACT224n6p,1.7451522531268002,0.9342091217624057,1.0,Unchanged
ACACT240p,5.028294582660819,0.9917669449474061,1.0,Unchanged
ACACT241n9p,4.258829474675743e-06,0.8123991531268748,1.0,Unchanged
ACACT244n6m,0.0,1.0,1.0,Unchanged
ACACT244n6p,2.1780698878514153,0.5156382177966408,1.0,Unchanged
ACACT245n6m,0.0,1.0,1.0,Unchanged
ACACT245n6p,0.0002315734974583954,0.47646704794698846,1.0,Unchanged
ACACT260p,5.028294582660819,0.9917669449474061,1.0,Unchanged
ACACt2m,0.00190258881817443,0.8123991531268748,1.0,Unchanged
ACACT60m,2.717974950038554,0.9588522504512661,1.0,Unchanged
ACACT60p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
ACACT80m,2.717974950038554,0.9588522504512661,1.0,Unchanged
ACACT80p,8.260848153240895e-06,0.8123991531268748,1.0,Unchanged
ACACtx,-0.003175572565408515,0.2353615410718306,1.0,Unchanged
ACALDt,-0.002767220317261628,0.47646704794698846,1.0,Unchanged
ACALDtm,0.0,1.0,1.0,Unchanged
ACBHBte,-1.4446245632456576,0.5564175996007488,1.0,Unchanged
ACCOAC,2.4322439328105117,0.0015356136635507494,0.0427990388808983,Unchanged
ACCOACm,0.0,1.0,1.0,Unchanged
ACCOAgt,0.0,1.0,1.0,Unchanged
ACCOAL2,0.7297335606200109,0.7805462405711403,1.0,Unchanged
ACCOAtr,0.0,1.0,1.0,Unchanged
ACETONEt2,0.0,1.0,1.0,Unchanged
ACETONEt2m,-1.698115621729175,0.00017987725406094432,0.01386553442917651,Unchanged
