id	filename	md5	size	state
e6720fcb-244d-4dcc-87f6-fb31cfc608e7	a6eef708-b398-40ec-9b8c-8f4bfeea52a2.FPKM-UQ.txt.gz	f82b4368e55a3e15daa67233b2c32654	536547	released
0dcfbb48-e7ba-49cd-9db3-c3e5aca46250	5b59ba3a-9227-4713-99df-ab5b422614db.FPKM-UQ.txt.gz	3a08d4642a17ec8672d88743e61939bf	508015	released
52fca191-1b55-4949-be97-3749471a11fd	4e461640-5d1c-4fd9-92ff-c5d79af0069d.FPKM-UQ.txt.gz	ab08db0750a23d619623b1ff9f94f5b3	521762	released
b607e478-6fb5-4e1a-a72f-bde030c74e76	1d915f83-2020-4d60-bf81-f017beaa42c0.FPKM-UQ.txt.gz	be7dc455dd6d61efc3f5be971b03aed4	504593	released
dc129686-e9d5-44ec-9b34-84ee63a847c4	4869e2a4-f182-41f1-8aed-52b5dd3b5c00.FPKM-UQ.txt.gz	e253806c1c8a5a6e5d5dd4adcd9d087f	511505	released
4ec9592b-8bff-4864-b466-28333552ddbc	70feda2e-27ef-4350-a1d9-587b40562e88.FPKM-UQ.txt.gz	6d68c88c85495c72f21ed209558c399c	512172	released
a0b8627a-40dc-474c-9878-6d7ddec6b8ce	e79a0a0e-7fb9-477f-bd84-e83feabf3cd9.FPKM-UQ.txt.gz	c41cb94333a66b0d64223365049b49b4	528800	released
6c46dd8e-3d53-4fce-9b6e-910871e6c841	514113a6-f6fb-4e8c-95cf-8770eead9a09.FPKM-UQ.txt.gz	a4490e38f5ca179dd1279fd88438e61d	509567	released
ad9babd5-acad-49e6-b580-d42b075e6048	73451252-7198-4187-93b0-16a76843c8c0.FPKM-UQ.txt.gz	524500cb6f0c12b1f2c9c93a601a5902	533943	released
9c942cdb-c013-4a79-a114-dd5be6feb6c5	df7aea5f-dfad-440a-a1f4-f79e4bd5e803.FPKM-UQ.txt.gz	42ae3738e441f359af7081dd913acf93	508614	released
ae0780b8-67fd-4313-9da5-b90483f6c845	40b37a9a-db72-43b1-9b11-3c4f69b4b36e.FPKM-UQ.txt.gz	2eaeda9a09aeeafd241b485ce733efef	535372	released
dbe59f0a-ed94-4049-b19e-a5db81177535	7fd8ca69-28f3-4ea4-b2a6-f0b56cb87561.FPKM-UQ.txt.gz	2250d9c86d0f1229057612601fd7fdb1	524241	released
99295b7c-e24b-4e1e-a861-4ec88f94472e	b4fef057-c1d9-4c77-93b3-217356751e3c.FPKM-UQ.txt.gz	654234a82be4122d867833759c54da2c	478224	released
4d941c82-d511-423f-929d-e9be139bf392	e5e896b0-491e-44c4-bcb7-6316381545f8.FPKM-UQ.txt.gz	e3f3ed73d5e3715db199fba27218a962	505734	released
f90e0e22-157f-47c0-990b-f82e5544d05e	6d8f7120-d3b2-4786-9f70-cce4c99218ec.FPKM-UQ.txt.gz	dd0fde83d29b282ff3cefd016584280b	501604	released
af8689b0-7c8e-4ef3-b5a5-fd6daa5a50fa	6e29236f-8b2f-40e7-a79f-e4466402e556.FPKM-UQ.txt.gz	5f5ccc78718aaeb9099328aaef3e7a66	505380	released
bc717c9e-b09e-46e3-8256-fd86862bb0ea	3511dd71-059e-4e36-8aa3-1fdc5758f830.FPKM-UQ.txt.gz	e15f5cfc24ee82861e093b186499653b	510887	released
a0e30869-96d4-45ce-af31-ec4be11da0f5	8d6ba6f2-1d96-42de-87df-05e7141e3197.FPKM-UQ.txt.gz	b170760775d81020cd794938a0a059a7	519806	released
8fa2a28a-2a1c-4100-b4ee-4416b4540a31	008b8100-7bd6-4224-998c-700863de51da.FPKM-UQ.txt.gz	d3ea05aaf87b7364658238d7c45fbac5	517997	released
6e9ff2bc-1144-48dc-ab1f-2e8868abcc42	03248d19-cb6a-4578-9759-c0c4de048920.FPKM-UQ.txt.gz	f9f1ada73f85f077187126413931acf9	507382	released
ea107a3a-e13f-491e-82b5-c416437d6306	a8ab471e-3783-4831-b8f4-d2b0ac997eb0.FPKM-UQ.txt.gz	875145b04ec7a6dfa86bea3c8d44b729	534011	released
05faa6cb-6abe-4504-83a4-6121002ecfd6	702f5f23-47cb-49bd-ac6c-eb9eca14f028.FPKM-UQ.txt.gz	7f83517ae452f992327cdf71a2e04318	535081	released
bcb125e0-711e-45df-ad13-eebff628b455	17915009-ea55-4f1d-b745-c6724a0d0060.FPKM-UQ.txt.gz	991dc9487aba0ef69d163a5f63d22ccb	521963	released
c9e3ca34-f142-405e-9291-e3316aee63f7	bee7d12d-83aa-4dfc-8546-50ca94f553db.FPKM-UQ.txt.gz	bb0d9ed2cdf0e5b908b967f68506bc0a	511414	released
51d94d55-6c4a-43ca-86af-5b6e72959bf8	5c6a718f-8c40-47e7-a746-761b1d5b24b0.FPKM-UQ.txt.gz	e0c8e8ed5f8fd719cfa937a621823f16	508608	released
9708151c-d984-41f3-b8b1-d670c0031b71	728a0414-1d94-44f2-91de-24d0adeda7a0.FPKM-UQ.txt.gz	3edbcb201f12d33d430d5838e7095a9d	519718	released
9a2ff475-78c7-485b-83b5-0fdbc36adb21	a829d13e-6fd6-4a24-809b-d9fdc08c6ea6.FPKM-UQ.txt.gz	5b46bbd8eff84c0d3037ce5c5d309f42	519478	released
