"entrezgene_id"	"V2"
286749	0
55133	90826.8415477
3796	127551.156179
10235	2959.17648982
23198	114950.208151
57560	72686.3415899
22933	199357.093203
27248	913490.623109
5526	102957.999673
5837	1224.25288692
8712	0
5307	744.354920832
57113	91.1714678891
375449	71017.230558
221395	591940.832117
54549	2201.56276557
8756	0
55746	254656.605215
64710	1933168.20291
55737	381854.312317
10294	366573.921955
602	298621.428595
8514	38498.1898769
10060	5491.84161186
51083	223.370096328
29121	25043.6502999
139341	232678.51421
4129	26516.9896437
6095	33758.5099222
1815	4325.24357142
7049	45500.2705123
8399	5203.96281769
54626	16755.8555707
483	865524.545858
4734	47242.3947824
9488	93085.6271093
5597	223058.888774
10681	121003.050454
5873	1173077.5769
27440	73889.5245715
7353	87287.1834759
4040	96746.8893568
2984	6048.15846175
6343	5553.73736773
57661	202849.009302
8518	211928.288153
4925	103949.663505
5217	948043.725995
5774	131230.76965
6710	2535.822174
27071	9577.21389271
2255	1639.48161038
23446	676593.747335
54916	75354.5671011
23293	90905.7454756
10640	119546.965034
8218	12281.0208201
27006	688.106931817
10272	548011.067805
9993	1047144.42674
55658	128080.004319
4335	101041.186677
79364	94570.2291754
23210	64264.2764994
5423	54172.4164451
55808	1684.34527394
55062	132813.94205
22844	197.975882207
57704	279256.801462
3340	422757.618876
440	121236.564068
10947	69587.8286076
1258	358.102237194
10610	57284.7655085
1103	0
26986	5110206.72545
10420	52359.5105391
29105	263482.663101
1459	289035.405313
11099	145504.657935
8891	129483.931829
815	613.813760642
6949	124232.038413
998	1395734.06884
26031	185772.221102
2046	54.1958053802
6559	140.961711275
56852	55389.898153
490	136885.656314
29850	439.74930625
8440	528804.423699
9448	317231.850459
11320	100261.395782
6160	3206327.10937
9948	1449234.43142
23161	93686.7353104
54860	6316.06580156
79658	83964.6510438
6196	1046576.83481
54556	40042.9668274
22846	67392.3589614
29995	22927.1285212
114049	190187.939899
6400	343997.893301
9319	8483.04410775
537	1310520.22159
6929	237558.506066
28951	231773.252088
26528	183046.465201
53615	172266.890606
51052	0
6596	235669.542038
9130	519224.528551
60343	202719.973457
29894	396595.960393
140469	29722.1088594
79901	1888374.93724
28513	84.6098849729
5134	141334.358665
55117	33.0692546665
51109	315114.566484
5566	434201.073805
22859	224825.541872
6694	0
87	535917.960364
23503	67390.7552179
27330	18136.0124083
22905	109204.032418
26469	184367.371853
